,id,text,label
158,159,به تیغ می‌زد و می‌رفت و باز می‌نگریست,saadi
159,160,و گر در رنج سعدی راحت توست,saadi
160,161,امشب نظر به روی تو از خواب خوشترست,saadi
161,162,هش دار که گر وسوسه عقل کنی گوش,saadi
162,163,نمودی چند بار از خود که حافظ عهد و پیمانم,hafez
163,164,نسبت دوست به هر بی سر و پا نتوان کرد,saadi
164,165,بر در میکده می کن گذری بهتر از این,hafez
165,166,چندی به پای رفتم و چندی به سر شدم,saadi
166,167,چشم مخمور تو دارد ز دلم قصد جگر,hafez
167,168,هزار بار بگفتم که چشم نگشایم,saadi
168,169,گر مرا عشقت به سختی کشت سهل است این قدر,saadi
169,170,حافظ ار در گوشه محراب می‌نالد رواست,hafez
170,171,نشانی زان پری تا در خیال است,hafez
171,172,در وفای عشق تو مشهور خوبانم چو شمع,hafez
172,173, ای روی ماه منظر تو نوبهار حسن,saadi
173,174,تا چند باشیم از بی نصیبان,saadi
174,175,کجا روم که دلم پای بند مهر کسیست,saadi
175,176,که تا قیامت از این آستان بگردانی,saadi
176,177,چرا که وعده تو کردی و او به جا آورد,saadi
177,178,شکر ایزد که ز تاراج خزان رخنه نیافت,hafez
178,179,غزل گفتی و در سفتی بیا و خوش بخوان حافظ,hafez
179,180,زهی خجالت مردم چرا به سر ندویدم,saadi
180,181,سعدی چو گرفتار شدی تن به قضا ده,saadi
181,182,صبا تو نکهت آن زلف مشک بو داری,hafez
182,183,خدا را ای رقیب امشب زمانی دیده بر هم نه,hafez
183,184,وجود مرده از آن آب جانور می‌گشت,saadi
184,185,دیوانه شده دوان به هر سوی,saadi
185,186,کز وی هزار سوز مرا در جگر فتاد,saadi
186,187,روزی چو پادشاهان خواهم که برنشینی,saadi
187,188,وز جانب او عزیزتر نیست,saadi
188,189,گفتی که چون من در زمی دیگر نباشد آدمی,saadi
189,190, حدیث یا شکرست آن که در دهان داری,saadi
190,191,ز توبه خانه تنهایی آمدم بر بام,saadi
191,192,همه کس را نتوان گفت که بینایی هست,saadi
192,193,بنده وارت به سلام آیم و خدمت بکنم,saadi
193,194,دیدار دوستان که ببینند مرهمست,saadi
194,195,نازنین‌تر ز قدت در چمن ناز نرست,hafez
195,196,ما به یک شربت چنین بیخود شدیم,saadi
196,197,غم دنیای دنی چند خوری باده بخور,hafez
197,198,حافظ ار جان طلبد غمزه مستانه یار,hafez
198,199,گر جان طلبی فدای جانت,saadi
199,200,من دست نخواهم برد الا به سر زلفت,saadi
200,201, درخت دوستی بنشان که کام دل به بار آرد,saadi
201,202,رها کن راه بدعهدی و اندر عهد ایشان آی,saadi
202,203,سرو ندیدم بدین صفت متمایل,saadi
203,204,گوش بر ناله مطرب کن و بلبل بگذار,saadi
204,205,باور از بخت ندارم که تو مهمان منی,saadi
205,206,کیمخت خارپشت ز سنجاب خوشترست,saadi
206,207,هم آتشی زده‌ای تا نفیر می‌آید,saadi
207,208,آرزومند کعبه را شرط است,saadi
208,209,مرا تو بر سر آتش نشانده‌ای عجب آنک,saadi
209,210,عجب می‌دارم از هامون که چون دریا نمی‌باشد,saadi
210,211,زشت نتوان گفت زیبا می‌کند,saadi
211,212,خجسته روز کسی کز درش تو بازآیی,saadi
212,213,رویی نتوان گفت که حسنش به چه ماند,saadi
213,214,ز مروارید گوشم در جهان به,hafez
214,215,دگر ز منزل جانان سفر مکن درویش,hafez
215,216,گیرند مردم دوستان نامهربان و مهربان,saadi
216,217,به بوی او دل بیمار عاشقان چو صبا,hafez
217,218,سرمست بتی لطیف ساده,saadi
218,219,در شب هجران مرا پروانه وصلی فرست,saadi
219,220,ببین که تا به چه حدم همی‌کند تحمیق,hafez
220,221,وین برکشیده گنبد نیلی حصار هم,hafez
221,222,حافظ آن ساعت که این نظم پریشان می‌نوشت,hafez
222,223,از آن طرف نپذیرد کمال او نقصان,saadi
223,224,نه آن چنان به تو مشغولم ای بهشتی رو,saadi
224,225,نه یاری سست پیمان است سعدی,saadi
225,226,تو چنان در دل من رفته که جان در بدنی,saadi
226,227,شب بر آنم که مگر روز نخواهد بودن,saadi
227,228,به کسی نگر که ظلمت بزداید از وجودت,saadi
228,229,زاهد از کوچه رندان به سلامت بگذر,hafez
229,230,چو بت به کعبه نگونسار بر زمین افتد,saadi
230,231,به ضرورت جفای او ببریم,saadi
231,232,نظری به لشکری کن که هزار خون بریزی,saadi
232,233,این یک دو دم که مهلت دیدار ممکن است,saadi
233,234,برسانش ز من ای پیک صبا پیغامی,hafez
234,235,روزی به نماز دیگر آورد,saadi
235,236,می‌ای دارم چو جان صافی و صوفی می‌کند عیبش,saadi
236,237,گر دست رسد در سر زلفین تو بازم,saadi
237,238,که گفته است که صد دل به غمزه‌ای ببری,saadi
238,239,ای خضر حلالت نکنم چشمهٔ حیوان,saadi
239,240,به بال و پر مرو از ره که تیر پرتابی,hafez
240,241,ابروی یار در نظر و خرقه سوخته,hafez
241,242,کنون امید بخشایش همی‌دارم که مسکینم,saadi
242,243,آه من باد به گوش تو رساند هرگز,saadi
243,244,درویش را نباشد برگ سرای سلطان,saadi
244,245,ای دل به کوی عشق گذاری نمی‌کنی,hafez
245,246,کاین همه شور در جهان انداخت,saadi
246,247,حافظ نه حد ماست چنین لاف‌ها زدن,hafez
247,248,چون روی تو دلفریب و دلبند,saadi
248,249,که دیر مست شود هر که می خورد به دوام,hafez
249,250,که سحرگه شکفتنم هوس است,hafez
250,251,وان که این مجلس نجوید زندگی بر وی حرام,hafez
251,252,شادی مجلسیان در قدم و مقدم توست,hafez
252,253,که دل به غمزه خوبان مده که سنگ و سبوست,saadi
253,254,دیدار در حجاب و معانی برابر است,saadi
254,255,چرا و چون نرسد بندگان مخلص را,saadi
255,256,ای برادر که حال ما دگر است,saadi
256,257,دلیل روی تو هم روی توست سعدی را,saadi
257,258,می بهشت ننوشم ز دست ساقی رضوان,hafez
258,259,روشنت گردد این حدیث چو روز,saadi
259,260,چو بر در تو من بینوای بی زر و زور,saadi
260,261,به جان دوست که در اعتقاد سعدی نیست,saadi
261,262,در مذهب طریقت خامی نشان کفر است,hafez
262,263,که نام قند مصری برد آنجا,hafez
263,264,غم و اندیشه در آن دایره هرگز نرود,saadi
264,265,دور فلکی یک سره بر منهج عدل است,hafez
265,266,با طینت اصلی چه کند بدگهر افتاد,hafez
266,267, شب عاشقان بی‌دل چه شبی دراز باشد,saadi
267,268,تا ظن برم که روی تو ماه است یا پری,saadi
268,269,مطربا پرده بگردان و بزن راه عراق,hafez
269,270,از گفته کمال دلیلی بیاورم,saadi
270,271,شکر خدا که هر چه طلب کردم از خدا,hafez
271,272, خوشا دلی که مدام از پی نظر نرود,hafez
272,273,ور به میدان می‌روی از تیرباران برمگرد,saadi
273,274,دست گیر این پنج روزم در حیات,saadi
274,275, رفتی و نمی‌شوی فراموش,saadi
275,276,باشد که غلام خویشتن خوانی,saadi
276,277,دیده به سوی دیگری دارم و دل به سوی او,saadi
277,278,گر چه ماه رمضان است بیاور جامی,hafez
278,279,زلف سنبل به نسیم سحری می‌آشفت,hafez
279,280,گر بهاری باز باشد لیس بعد الورد برد,saadi
280,281,موضع ناز است و غرور ای صنم,saadi
281,282,جفای پرده درانم تفاوتی نکند,saadi
282,283,آفتاب از منظر افتد در رواق,hafez
283,284,تو ز ما فارغ و ما از تو پریشان تا چند,saadi
284,285,من این طمع نکنم کز تو کام برگیرم,saadi
285,286,ساقی بده آن کوزهٔ خمخانه به درویش,hafez
286,287,چشم و ابروی تو زیبا قد و بالای تو خوش,saadi
287,288,رنج‌هایی کشیده‌ام که مپرس,hafez
288,289,تو آهو چشم نگذاری مرا از دست تا آن گه,saadi
289,290,کمند سعدی اگر شیر شرزه صید کند,saadi
290,291,زین بیشتر بباید بر هجرت احتمالی,saadi
291,292,این باد بهار بوستان است,saadi
292,293,گوییا بر من از بهشت خدای,saadi
293,294,نبود چنگ و رباب و نبید و عود که بود,hafez
294,295,امسال کار من بتر از پار بنگرید,saadi
295,296,هر پاره از دل من و از غصه قصه‌ای,hafez
296,297,دگر به گوش فراموش عهد سنگین دل,saadi
297,298,نفسی تزول عاقبة الامر فی الهوی,saadi
298,299,برگ نوا تبه شد و ساز طرب نماند,hafez
299,300,بیا ای دوست ور دشمن ببیند,saadi
300,301,مگر به روی دلارای یار ما ور نی,saadi
301,302,دلبر از ما به صد امید ستد اول دل,hafez
302,303,من اگر هزار خدمت بکنم گناهکارم,saadi
303,304,گر همه عمر نداده‌ست کسی دل به خیال,saadi
304,305,تاب وغا نیاورد قوت هیچ صفدری,saadi
305,306,آواز سؤال حیرت آمد,hafez
306,307,آفت دور سمایی می‌کند,saadi
307,308,چه حاجت است بگوید شکر که شیرینم,hafez
308,309,تو را رسد که غلامان ماه رو داری,saadi
309,310,گفتم ز لعل نوش لبان پیر را چه سود,hafez
310,311,نهادم عقل را ره توشه از می,hafez
311,312,فقیر از رقص در حالت خطیب از می خرابستی,hafez
312,313,در غم افزوده‌ام آنچ از دل و جان کاسته‌ام,saadi
313,314,بیچاره در هلاک تن خویشتن عجول,saadi
314,315,محبت بر محبت می‌فزایی,saadi
315,316,نخوت باد دی و شوکت خار آخر شد,hafez
316,317,چندین که برشمردم از ماجرای عشقت,saadi
317,318,دوش دور از رویت ای جان جانم از غم تاب داشت,hafez
318,319,گنج زر گر نبود کنج قناعت باقیست,hafez
319,320,سر مکش تا نکشد سر به فلک فریادم,hafez
320,321,که دوستی و ارادت هزار چندان است,saadi
321,322,قیاس کن که دلم را چه تیر عشق رسید,saadi
322,323,که رستگاری جاوید در کم آزاریست,saadi
323,324,همای زلف شاهین شهپرت را,hafez
324,325,سر گیسوی تو در هیچ سری نیست که نیست,hafez
325,326,خون شد دل من ندیده کامی,saadi
326,327,خواب می‌گیرد و شهری ز غمت بیدارند,saadi
327,328,برقع فروهلد به جمال آفتاب را,saadi
328,329,سخت کمان چه غم خورد گر تو ضعیف جوشنی,saadi
329,330,غبار خط بپوشانید خورشید رخش یا رب,hafez
330,331,کارم چو زلف یار پریشان و درهمست,hafez
331,332,چون دل ببردی دین مبر هوش از من مسکین مبر,saadi
332,333,به ترکستان رویش خال هندو,hafez
333,334,تا به خلوتگه خورشید رسی چرخ زنان,hafez
334,335,بعد از این خرقه صوفی به گرو نستانند,hafez
335,336,ما و دردی کشان مجلس درد,saadi
336,337,جرم بیگانه نباشد که تو خود صورت خویش,saadi
337,338, نوبهار است در آن کوش که خوشدل باشی,hafez
338,339,با همه پادشهی بنده تورانشاهم,saadi
339,340,صاحب نظران لاف محبت نپسندند,saadi
340,341,به سخن باز نمی‌باشد و چشم از نازش,saadi
341,342,با رستم دستان بزند هر که درافتاد,saadi
342,343,گوش کن پند ای پسر وز بهر دنیا غم مخور,hafez
343,344,باک از جفای دشمن و جور رقیب نیست,saadi
344,345,زان گه که عشق دست تطاول دراز کرد,hafez
345,346,زحمت ببرد ز پیش ایوان,saadi
346,347,کس نداند که نهان می‌سوزم,saadi
347,348,جرمش این بود که اسرار هویدا می‌کرد,hafez
348,349,توبه صوفی به زیان آوری,hafez
349,350,خود را لطافتی و جمالی نیافته,saadi
350,351,به زیر دلق ملمع کمندها دارند,hafez
351,352,و آهنگ بازگشت به راه حجاز کرد,hafez
352,353,در حضرت کریم تمنا چه حاجت است,hafez
353,354,که به یک دل دو دوست نتوان داشت,saadi
354,355,وآن شکن برشکن قبائل زلف,saadi
355,356,که حال ما نه چنین بودی ار چنان بودی,saadi
356,357,هر روزش از گریبان سر برنکرد ماهی,saadi
357,358,بینی که چه گرم آتش در سوخته می‌گیرد,saadi
358,359,گر کند انعام او در من مسکین نگاه,saadi
359,360,خلاص بخش خدایا همه اسیران را,hafez
360,361,بسیار دیده‌ایم درختان میوه‌دار,saadi
361,362,پای ما لنگ است و منزل بس دراز,hafez
362,363,نکته‌ها رفت و شکایت کس نکرد,hafez
363,364,گل عزیز است غنیمت شمریدش صحبت,hafez
364,365,که عاشقان ره بی‌همتان به خود ندهند,hafez
365,366,سعدی اگر خون و مال صرف شود در وصال,saadi
366,367,به عاشقان نظری کن به شکر این نعمت,saadi
367,368,ساقیا برخیز و درده جام را,hafez
368,369,همچنان عذرت بباید خواستن تقصیر را,saadi
369,370,رقیبم سرزنش‌ها کرد کز این باب رخ برتاب,hafez
370,371,سعدیا زنده عارفی باشی,saadi
371,372,مردم بیگانه را خاطر نگه دارند خلق,saadi
372,373,گرم ترانه چنگ صبوح نیست چه باک,hafez
373,374,هر عهد که بستم هوسی بود و هوایی,saadi
374,375,گر نه شیرین نمک پراکندی,saadi
375,376, شادی به روزگار گدایان کوی دوست,saadi
376,377,بند پایی که به دست تو بود تاج سر است,saadi
377,378,بیرون نمی‌توان کرد الا به روزگاران,saadi
378,379,چند پوید به هوای تو ز هر سو حافظ,hafez
379,380,صورتی دارد ولی جانیش نیست,saadi
380,381,کارم ز دست رفت و نیامد به دست یار,saadi
381,382,دیگر چو شب نزدیک شد چون زلف در پا می‌برد,saadi
382,383,روان روشن سعدی که شمع مجلس توست,saadi
383,384,باشد که تفرج بکنم دست و کمانت,saadi
384,385,ز بانگ رود و آوای سرودم,hafez
385,386,اهل دل داند که تا زخمی نخورد آهی نکرد,hafez
386,387,شربتی تلختر از زهر فراقت باید,saadi
387,388,زبان کلک تو حافظ چه شکر آن گوید,hafez
388,389,که ره از صومعه تا دیر مغان این همه نیست,hafez
389,390,که در آن کوی چو من کشته بسی افتاده‌ست,saadi
390,391,نباشد بر سر سرو آفتابی,saadi
391,392,گر به شکار آمده‌ست دولت نخجیر او,saadi
392,393,شاهدان گر دلبری زین سان کنند,hafez
393,394,دوش بی روی تو آتش به سرم بر می‌شد,saadi
394,395,تا به هر غمزه‌ای دلی ببری,saadi
395,396,خار بردارم اگر دست به خرما نرسد,saadi
396,397,ور دوست دست می‌دهدت هیچ گو مباش,saadi
397,398,سخن سعدی بشنو که تو خود زیبایی,saadi
398,399,وقت آن آمد که خوش باشد کنار سبزه جوی,saadi
399,400,که آفت‌هاست در تاخیر و طالب را زیان دارد,hafez
400,401,گر دیگران به منظر زیبا نظر کنند,saadi
401,402,روی و ریای خلق به یک سو نهاده‌ایم,saadi
402,403,نچمی که شاخ طوبی به ستیزه برنریزد,hafez
403,404,که مهرش در میان جان و مهرش بر دهان باشد,saadi
404,405,نقش غلط مبین که همان لوح ساده‌ایم,hafez
405,406, وقت‌ها یک دم برآسودی تنم,saadi
406,407,عهد ما با لب شیرین دهنان بست خدا,hafez
407,408,که خوش است عیش مردم به روایح عبیرم,hafez
408,409,ما خوشه چین خرمن اصحاب دولتیم,saadi
409,410, صبح است ساقیا قدحی پرشراب کن,hafez
410,411,مرا رسد که برآرم هزار ناله چو بلبل,saadi
411,412,اگر نه باده غم دل ز یاد ما ببرد,hafez
412,413,گو غنیمت شمار صحبت ما,hafez
413,414,قبای اطلس آن کس که از هنر عاریست,hafez
414,415,مگسی کجا تواند که بیفکند عقابی,saadi
415,416,رندی و هوسناکی در عهد شباب اولی,hafez
416,417,بیا بیا که غلام توام بیا ای دوست,hafez
417,418,زمین به اختر میمون و طالع مسعود,hafez
418,419,کمال سر محبت ببین نه نقص گناه,saadi
419,420,کاین پای لایقست که بر چشم ما رود,saadi
420,421,که بر وی این همه باران شوق می‌بارم,saadi
421,422,فردا که شوم خاک چه سود اشک ندامت,hafez
422,423,ای گوی حسن برده ز خوبان روزگار,saadi
423,424,آن که بی جرم برنجید و به تیغم زد و رفت,hafez
424,425,چون به خلوت می‌روند آن کار دیگر می‌کنند,hafez
425,426,زین معما هیچ دانا در جهان آگاه نیست,hafez
426,427,سعدی از سرزنش خلق نترسد هیهات,saadi
427,428,بازآید و برهاندم از بند ملامت,saadi
428,429,بیار ای لعبت ساقی بگو ای کودک مطرب,hafez
429,430,هر چه زان تلخ‌تر بخواهی گفت,saadi
430,431,نخفته‌ام ز خیالی که می‌پزد دل من,hafez
431,432,خرقه زهد مرا آب خرابات ببرد,hafez
432,433,ندای عشق تو دیشب در اندرون دادند,hafez
433,434,آن عشوه داد عشق که مفتی ز ره برفت,hafez
434,435,ماجرای عشق از اول تا به پایان گفته‌اند,saadi
435,436,گر قلب دلم را ننهد دوست عیاری,saadi
436,437,ما با توایم و با تو نه‌ایم اینت بلعجب,saadi
437,438,لعلست یا لبانت قندست یا دهانت,saadi
438,439,پای سرو بوستانی در گل است,saadi
439,440,نور ز خورشید جوی بو که برآید,hafez
440,441,لطیف جوهر و جانی غریب قامت و شکلی,saadi
441,442,ستاره‌ای بدرخشید و ماه مجلس شد,hafez
442,443,جلوه بخت تو دل می‌برد از شاه و گدا,hafez
443,444,چو عقرب دشمنان داری و من با تو چو میزانم,saadi
444,445, قتل این خسته به شمشیر تو تقدیر نبود,saadi
445,446,بهشتی صورتی در جوف محمل,saadi
446,447,کس رد نتواند کرد آن را که تو بگزینی,saadi
447,448,فتاد و چون من سودازده به سر می‌گشت,saadi
448,449,دل خود دریغ نیست که از دست من برفت,saadi
449,450,پروانه راحت بده ای شمع که امشب,saadi
450,451,جز عهد و وفای تو که محلول نگردد,saadi
451,452,دیده نگه داشتیم تا نرود دل,saadi
452,453,سر درس عشق دارد دل دردمند حافظ,hafez
453,454,برو ای سپر ز پیشم که به جان رسید پیکان,saadi
454,455,یک بارگی جدا ز کلاه و کمر فتاد,saadi
455,456,اگر تسبیح می‌فرمود اگر زنار می‌آورد,hafez
456,457,مغبچه‌ای می‌گذشت راهزن دین و دل,hafez
457,458,مگر کسی که بود در طبیعتش مجبول,saadi
458,459, به خاک پای عزیزت که عهد نشکستم,saadi
459,460,به سمع مردم هشیار در نمی‌گنجد,saadi
460,461,جوهری عقل در بازار حسن,saadi
461,462,سرابستان در این موسم چه بندی,saadi
462,463,بگذار مشک و بوی سر زلف او بیار,hafez
463,464,به تیغ مرگ شود دست من رها ای دوست,saadi
464,465,محراب و کمانچه ز دو ابروی تو سازم,hafez
465,466,گر سر برود در سر سودای ایازم,saadi
466,467, بیا که رایت منصور پادشاه رسید,hafez
467,468,انتبه قبل السحر یا ذالمنام,saadi
468,469,خور ز حکم تو سر نمی‌تابد,saadi
469,470,به صدر مصطبه بنشین و ساغر می‌نوش,hafez
470,471,در راه جام و ساقی مه رو نهاده‌ایم,hafez
471,472,خصم را پای گریز از سر میدان تو نیست,saadi
472,473,چو مستان جامه را بدرید بر تن,saadi
473,474,چون خاک شوم باد به گوشت برساند,saadi
474,475,ما تماشاکنان کوته دست,saadi
475,476,چنانم در دلی حاضر که جان در جسم و خون در رگ,saadi
476,477,ذکر سودای زلیخا پیش یوسف کرده‌اند,saadi
477,478,داعی دولت به هر مقام که هستیم,saadi
